[INVENT_3539] Fit: 0.0000 | Stack: 5 | Logic: ["OP_3539", "LIT(8)"]
[RANDOM] Fit: 0.0000 | Stack: 5 | Logic: ["ADD", "LIT(8)"]
[RANDOM] Fit: 0.0000 | Stack: 5 | Logic: ["SUB", "LIT(8)"]
[INVENT_2581] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2581", "LIT(8)"]
[INVENT_8252] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8252", "LIT(8)"]
[INVENT_9829] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9829", "LIT(8)"]
[INVENT_8874] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8874", "LIT(8)"]
[INVENT_4959] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4959", "LIT(8)"]
[INVENT_8146] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8146", "LIT(8)"]
[INVENT_3243] Fit: 0.0000 | Stack: 5 | Logic: ["OP_3243", "LIT(8)"]
[INVENT_9562] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9562", "LIT(8)"]
[INVENT_4441] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4441", "LIT(8)"]
[INVENT_8817] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8817", "LIT(8)"]
[INVENT_8177] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8177", "LIT(8)"]
[INVENT_3754] Fit: 0.0000 | Stack: 5 | Logic: ["OP_3754", "LIT(8)"]
[INVENT_1486] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1486", "LIT(8)"]
[INVENT_9857] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9857", "LIT(8)"]
[INVENT_4507] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4507", "LIT(8)"]
[INVENT_2003] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2003", "LIT(8)"]
[INVENT_7953] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7953", "LIT(8)"]
[INVENT_6865] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6865", "LIT(8)"]
[INVENT_1341] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1341", "LIT(8)"]
[INVENT_2657] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2657", "LIT(8)"]
[INVENT_6274] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6274", "LIT(8)"]
[INVENT_5359] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5359", "LIT(8)"]
[INVENT_7482] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7482", "LIT(8)"]
[INVENT_7289] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7289", "LIT(8)"]
[INVENT_2853] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2853", "LIT(8)"]
[INVENT_9741] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9741", "LIT(8)"]
[INVENT_7660] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7660", "LIT(8)"]
[INVENT_6820] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6820", "LIT(8)"]
[INVENT_8349] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8349", "LIT(8)"]
[INVENT_4458] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4458", "LIT(8)"]
[INVENT_9099] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9099", "LIT(8)"]
[INVENT_8091] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8091", "LIT(8)"]
[INVENT_7691] Fit: 0.0833 | Stack: 5 | Logic: ["OP_7691", "LIT(8)"]
[INVENT_8567] Fit: 0.0909 | Stack: 5 | Logic: ["OP_8567", "LIT(8)"]
[INVENT_5490] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5490", "LIT(8)"]
[INVENT_4193] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4193", "LIT(8)"]
[INVENT_1516] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1516", "LIT(8)"]
[INVENT_9788] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9788", "LIT(8)"]
[INVENT_6807] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6807", "LIT(8)"]
[INVENT_1138] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1138", "LIT(8)"]
[MUTATE] Fit: 0.0000 | Stack: 5 | Logic: ["MUL", "LIT(8)"]
[INVENT_9561] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9561", "LIT(8)"]
[INVENT_9816] Fit: 0.0204 | Stack: 5 | Logic: ["OP_9816", "LIT(8)"]
[INVENT_9031] Fit: 0.0833 | Stack: 5 | Logic: ["OP_9031", "LIT(8)"]
[INVENT_1260] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1260", "LIT(8)"]
[INVENT_7484] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7484", "LIT(8)"]
